Time,Position_X,Position_Y,Position_Z
0.3533334,1.259032E-07,1.188995,-0.002499569
0.4598923,-3.81202E-07,0.7927094,-0.00225525
0.5615458,0.005025513,0.8723362,-0.01302053
0.6641483,0.006996745,0.871882,-0.01274708
0.7674468,0.004593518,0.8628771,-0.006803971
0.8719487,0.002664442,0.8608422,-0.002159454
1.038901,0.0009458432,0.8636208,0.000827916
1.168639,0.000729142,0.8663435,7.024407E-05
1.29391,0.001173276,0.867547,-0.001434166
1.418375,0.001866421,0.8679295,-0.002692591
1.540038,0.002637532,0.867875,-0.003367983
1.669081,0.003062387,0.8677002,-0.003362902
1.799935,0.003243979,0.8675334,-0.003096163
1.941336,0.003181241,0.8673865,-0.002727743
2.088325,0.002976796,0.8673381,-0.00257102
2.223785,0.002760517,0.867345,-0.002563715
2.362354,0.002609133,0.8673764,-0.002626315
2.50887,0.002547091,0.8674057,-0.002688624
2.654861,0.002559334,0.8674199,-0.002719693
2.804703,0.002620869,0.8674195,-0.002720091
2.937335,0.002661657,0.8677995,0.009516021
3.040771,0.00268334,0.8689911,0.04809292
3.207968,0.002821423,0.8697975,0.1543012
3.355623,0.003100581,0.8697495,0.30847
3.535137,0.003394011,0.8698643,0.5928153
3.723179,0.01879693,0.869888,1.020922
3.880068,0.06506369,0.8695521,1.442975
4.033528,0.1351308,0.8689523,1.86961
4.19868,0.2254569,0.8701968,2.429954
4.355766,0.2867816,0.8692334,3.062959
4.51761,0.2974519,0.8678667,3.767519
4.685031,0.2383176,0.8671482,4.643278
4.8707,0.1046017,0.8680927,5.602405
5.066477,-0.1501627,0.8671266,6.759745
5.246897,-0.450462,0.8657092,7.890356
5.418948,-0.6998515,0.8723367,8.973762
5.583543,-0.9011063,0.8694641,10.27297
5.747342,-0.9847711,0.8698652,11.50554
5.920321,-0.9547427,0.867637,12.97412
6.112102,-0.7785253,0.8679718,14.51758
6.29638,-0.5419446,0.8700805,16.16393
6.4636,-0.3400196,0.8682991,17.88627
6.625892,-0.2535525,0.8681732,19.48168
6.804022,-0.2589797,0.8688718,21.36766
6.970184,-0.2761598,0.8724102,23.13212
7.142243,-0.2223727,0.8677756,25.18608
7.306952,-0.1350564,0.8683877,27.09669
7.464076,-0.01281836,0.8686944,29.08312
7.620233,0.1406494,0.8727398,31.14434
7.793908,0.3482154,0.8712165,33.26564
7.981192,0.6804502,0.8693799,36.0193
8.081495,0.8663772,0.8705458,37.4362
8.244405,1.194746,0.8689367,39.7359
8.412828,1.489893,0.8695331,42.05186
8.578504,1.767214,0.8663158,44.36572
8.743719,2.049758,0.8681878,46.97238
8.913568,2.263928,0.8670834,49.27106
9.03921,2.368942,0.8698457,50.98069
9.144654,2.419791,0.8663457,52.6838
9.253348,2.423558,0.8667316,54.10155
9.356803,2.40723,0.8681632,55.5187
9.458264,2.372614,0.8673106,56.94054
9.560235,2.306609,0.8676105,58.66496
9.661862,2.234451,0.8675719,60.12852
9.764844,2.157896,0.8697607,61.62239
9.86785,2.080895,0.872855,63.14326
9.972664,2.003948,0.8693358,64.69244
10.07624,1.928282,0.8708229,66.27097
10.17946,1.855604,0.8711283,67.8803
10.28418,1.773178,0.8713323,69.84866
10.39161,1.712463,0.8736134,71.52443
10.49813,1.648841,0.874725,73.22478
10.5982,1.588317,0.8683269,74.95474
10.70935,1.534158,0.8695464,77.07339
10.81697,1.526972,0.8771117,78.86481
10.9238,1.532323,0.8708458,81.05141
11.03214,1.55956,0.872912,82.90874
11.13948,1.609116,0.869839,84.79429
11.24531,1.691916,0.8696516,87.0962
11.35299,1.774883,0.8701642,89.0458
11.45714,1.87029,0.8724025,91.02467
11.56862,1.997975,0.8721408,93.43962
11.68008,2.13451,0.8709328,95.89439
11.78309,2.255812,0.8721117,97.97226
11.88329,2.363741,0.8726918,100.0781
11.993,2.436656,0.8705853,102.2069
12.09343,2.468528,0.8705411,104.3545
12.20279,2.436023,0.873516,106.9456
12.30307,2.342313,0.8764994,109.1096
12.41157,2.187422,0.8760332,111.272
12.52052,1.916847,0.873393,113.8623
12.62123,1.624091,0.8669924,116.0165
12.73017,1.259178,0.8666781,118.1657
12.83742,0.8314756,0.8666775,120.3113
12.9436,0.2405948,0.8661696,122.8824
13.04561,-0.3165262,0.8678104,125.0162
13.14922,-0.9303336,0.8701641,127.1323
13.25406,-1.589278,0.8660471,129.2256
13.3567,-2.313383,0.8739136,131.2828
13.45806,-3.086735,0.88026,133.3057
13.56,-4.066295,0.8780389,135.689
13.66058,-4.924026,0.8679858,137.6362
13.76626,-5.428354,0.9523205,139.3419
13.86729,-5.425672,1.120611,140.746
13.96936,-5.436285,1.219289,142.1612
14.07456,-5.435784,1.229926,143.6056
14.1826,-5.540045,1.21433,145.4099
14.28852,-5.648116,1.147214,146.8549
14.39334,-5.187053,1.199867,148.0972
14.49576,-4.760858,1.194516,149.3317
14.60357,-4.241327,1.092116,150.7943
14.71354,-3.829711,0.9782635,152.0914
14.81875,-3.404142,0.838138,153.3911
14.92281,-2.864072,0.8740559,154.8568
15.02389,-2.477196,0.9077227,156.0351
15.12753,-2.11446,0.9281127,157.1938
15.22814,-1.772588,0.9272696,158.3385
15.33652,-1.451147,0.8945971,159.4662
15.44472,-1.071593,0.8650112,160.7192
15.54785,-0.7517919,0.87734,161.6836
15.65612,-0.4389805,0.8600265,162.6429
15.76616,-0.06960421,0.8582218,163.759
15.87611,0.1843878,0.8767961,164.6887
15.97675,0.39598,0.8904613,165.5957
16.08373,0.5823764,0.8996726,166.6734
16.19155,0.6825963,0.900783,167.5568
16.29775,0.7364703,0.8953937,168.4207
16.40453,0.7451148,0.8790036,169.4247
16.5111,0.6992633,0.8652682,170.2261
16.61624,0.5821194,0.8801082,170.9678
16.71674,0.4418993,0.883481,171.6717
16.82391,0.2493031,0.8705871,172.468
16.92992,0.06162976,0.8688303,173.065
17.03527,-0.1384747,0.8705082,173.6017
17.14132,-0.3793789,0.8675892,174.1779
17.30122,-0.6660907,0.8674025,174.8226
17.44398,-0.821538,0.8671762,175.3011
17.58442,-0.9205484,0.8678459,175.6807
17.72864,-0.9946038,0.8680216,175.9506
17.83498,-1.042021,0.8682448,176.0757
18.02571,-1.096575,0.8673445,176.1787
18.20308,-1.099771,0.8667836,176.1807
18.37973,-1.094867,0.8672572,176.177
18.55856,-1.088247,0.8675373,176.172
18.73595,-1.084331,0.8674848,176.1691
18.91171,-1.08383,0.8673855,176.1688
19.06816,-1.085066,0.8673738,176.1697
19.22305,-1.086642,0.8673985,176.1709
19.37947,-1.08765,0.8674134,176.1716
19.69968,-1.087999,0.8674076,176.1719
19.8565,-1.087594,0.8674058,176.1716
